experiment,seed,class_id,class_name,ap50,ap50_95,run_dir,model_name,eval_split
real_only,43,31,SR71,0.4586505893156477,0.4353078864065415,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,32,Su34,0.206071961244613,0.2044134349841449,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,33,Su57,0.2870391623036484,0.2399298861354436,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,34,Tornado,0.1839477536419571,0.1699687123046088,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,35,Tu160,0.5441524052569192,0.4794985272081959,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,36,Tu95,0.4958977119294808,0.3946306270033714,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,37,U2,0.3863682034662555,0.3732651885415605,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,38,US2,0.7224898818061884,0.6289586459250354,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,39,V22,0.4557403848948765,0.3330075879603337,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,40,Vulcan,0.3509725538717221,0.3243815328805739,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,41,XB70,0.6169128371628371,0.4669609917859918,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,42,YF23,0.5940281385281385,0.5135939069264068,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,val
real_only,43,0,A10,0.4523970978245786,0.337575581450398,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,1,A400M,0.2222144929948836,0.2010743694095208,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,2,AG600,0.4493290936474172,0.4387592785304875,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,3,AV8B,0.3356379202831754,0.3007873905937927,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,4,B1,0.2995330235094795,0.2611487912899663,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
